long,lat,tipo
-58.387212,-34.62125,Led
-58.389823,-34.623369,Led
-58.391441,-34.623973,Led
-58.39133,-34.625212,Led
-58.391245,-34.626322,Led
-58.391178,-34.627256,Led
-58.390925,-34.62935,Led
-58.387031,-34.628624,Led
-58.382943,-34.623905,Led
-58.384407,-34.62348,Led
-58.38439,-34.624686,Led
-58.38437,-34.626042,Led
-58.384356,-34.62701,Led
-58.384356,-34.628149,Led
-58.38225,-34.625962,Led
-58.380155,-34.626365,Led
-58.38288,-34.625981,Led
-58.382854,-34.626945,Led
-58.382804,-34.62786,Led
-58.381486,-34.62779,Led
-58.380622,-34.627762,Led
-58.380192,-34.62775,Led
-58.388308,-34.627169,Led
-58.387264,-34.626166,Led
-58.38574,-34.627064,Led
-58.387235,-34.627124,Led
-58.389445,-34.627212,Led
-58.389485,-34.626781,Led
-58.389532,-34.626206,Led
-58.392316,-34.626441,Led
-58.392186,-34.627257,Led
-58.387192,-34.624841,Led
-58.394309,-34.627626,Led
-58.389302,-34.629022,Led
-58.391728,-34.629497,Led
-58.392733,-34.624026,Led
-58.372958,-34.597326,Led
-58.406683,-34.595368,Led
-58.373023,-34.59498,Led
-58.372431,-34.59613,Led
-58.372071,-34.597172,Led
-58.371412,-34.598409,Led
-58.370937,-34.599517,Led
-58.370636,-34.600658,Led
-58.37024,-34.601853,Led
-58.371085,-34.603044,Led
-58.370431,-34.603,Led
-58.370335,-34.604184,Led
-58.369874,-34.605312,Led
-58.370263,-34.606506,Led
-58.369318,-34.609241,Led
-58.371395,-34.599594,Led
-58.371845,-34.597582,Led
-58.368295,-34.601728,Led
-58.368639,-34.600419,Led
-58.369311,-34.600504,Led
-58.36749,-34.60888,Led
-58.367918,-34.60523,Led
-58.36805,-34.60407,Led
-58.368174,-34.60282,Led
-58.369027,-34.602885,Led
-58.369078,-34.599343,Led
-58.369522,-34.598266,Led
-58.370619,-34.595808,Led
-58.397832,-34.623221,Led
-58.399279,-34.623406,Led
-58.400433,-34.623545,Led
-58.401284,-34.623658,Led
-58.402173,-34.623758,Led
-58.404024,-34.624008,Led
-58.405817,-34.624219,Led
